Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;5;51;4;7.843137;6.713781;1.129356
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;6;51;3;5.882353;6.713781;-0.831428
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;7;51;1;1.960784;6.713781;-4.752997
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;8;51;1;1.960784;6.713781;-4.752997
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;9;51;5;9.803922;6.713781;3.090141
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;1;51;5;9.803922;8.598351;1.205571
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;2;51;5;9.803922;8.598351;1.205571
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;3;51;3;5.882353;8.598351;-2.715998
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;4;51;1;1.960784;8.598351;-6.637567
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;5;51;3;5.882353;8.598351;-2.715998
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;6;51;4;7.843137;8.598351;-0.755214
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;7;51;3;5.882353;8.598351;-2.715998
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;8;51;6;11.764706;8.598351;3.166355
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;9;51;7;13.72549;8.598351;5.127139
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;1;51;5;9.803922;7.891637;1.912284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;2;51;6;11.764706;7.891637;3.873069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;3;51;3;5.882353;7.891637;-2.009284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;4;51;3;5.882353;7.891637;-2.009284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;5;51;6;11.764706;7.891637;3.873069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;6;51;5;9.803922;7.891637;1.912284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;7;51;2;3.921569;7.891637;-3.970069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;8;51;4;7.843137;7.891637;-0.0485
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;9;51;6;11.764706;7.891637;3.873069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;1;51;2;3.921569;7.53828;-3.616712
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;2;51;4;7.843137;7.53828;0.304857
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;3;51;3;5.882353;7.53828;-1.655927
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;4;51;1;1.960784;7.53828;-5.577496
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;5;51;7;13.72549;7.53828;6.18721
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;6;51;3;5.882353;7.53828;-1.655927
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;7;51;4;7.843137;7.53828;0.304857
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;8;51;3;5.882353;7.53828;-1.655927
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;9;51;5;9.803922;7.53828;2.265641
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;1;51;2;3.921569;5.300353;-1.378785
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;2;51;4;7.843137;5.300353;2.542784
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;3;51;2;3.921569;5.300353;-1.378785
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;4;51;3;5.882353;5.300353;0.582
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;5;51;4;7.843137;5.300353;2.542784
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;6;51;0;0.0;5.300353;-5.300353
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;7;51;3;5.882353;5.300353;0.582
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;8;51;4;7.843137;5.300353;2.542784
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;9;51;1;1.960784;5.300353;-3.339569
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;1;51;3;5.882353;6.124853;-0.2425
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;2;51;1;1.960784;6.124853;-4.164068
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;3;51;5;9.803922;6.124853;3.679069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;4;51;2;3.921569;6.124853;-2.203284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;5;51;5;9.803922;6.124853;3.679069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;6;51;5;9.803922;6.124853;3.679069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;7;51;4;7.843137;6.124853;1.718284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;8;51;2;3.921569;6.124853;-2.203284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;9;51;0;0.0;6.124853;-6.124853
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;1;51;1;1.960784;5.771496;-3.810712
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;2;51;3;5.882353;5.771496;0.110857
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;3;51;1;1.960784;5.771496;-3.810712
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;4;51;3;5.882353;5.771496;0.110857
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;5;51;1;1.960784;5.771496;-3.810712
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;6;51;6;11.764706;5.771496;5.99321
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;7;51;4;7.843137;5.771496;2.071641
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;8;51;6;11.764706;5.771496;5.99321
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;9;51;2;3.921569;5.771496;-1.849927
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;1;51;3;5.882353;6.124853;-0.2425
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;2;51;3;5.882353;6.124853;-0.2425
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;3;51;3;5.882353;6.124853;-0.2425
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;4;51;4;7.843137;6.124853;1.718284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;5;51;4;7.843137;6.124853;1.718284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;6;51;2;3.921569;6.124853;-2.203284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;7;51;5;9.803922;6.124853;3.679069
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;8;51;1;1.960784;6.124853;-4.164068
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;9;51;6;11.764706;6.124853;5.639853
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;VALIDATION;1;51;3;5.882353;6.124853;-0.2425
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;VALIDATION;2;51;4;7.843137;6.124853;1.718284
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;VALIDATION;3;51;1;1.960784;6.124853;-4.164068
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;VALIDATION;4;51;3;5.882353;6.124853;-0.2425
